,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_sms,last_5day_total_calls,last_5day_total_other,last_5day_attr1,last_5day_attr2,last_5day_attr3,last_5day_attr4
0,AS14.01,2014-03-26,2,0.5684210526315789,0.5071813285457805,0.725130890052356,0.4499151103565366,0.2801226841646756,0.06896551724137932,0.2923076923076923,0.1018794848307498,0.016097378039044336,0.5418359742194656,0.7124902200228844,0.34233207149227335
1,AS14.01,2014-03-27,3,0.631578947368421,0.5287253141831234,0.693717277486911,0.49066213921901536,0.26525830237536485,0.06896551724137932,0.2,0.07979017696384558,0.0002765335808232322,0.22351649395737827,0.7196078133065755,0.3449139010408112
2,AS14.01,2014-03-28,1,0.536842105263158,0.5610412926391379,0.662303664921466,0.5212224108658745,0.23013342923681007,0.06896551724137932,0.18461538461538463,0.07363930792125285,0.017038602801680222,0.23886826351553098,0.8127733192640746,0.3603694755781698
3,AS14.01,2014-03-29,5,0.7894736842105263,0.539497307001795,0.599476439790576,0.500848896434635,0.20877642107386868,0.06896551724137932,0.26153846153846155,0.0974173058196684,0.03844799799793362,0.5408091122233121,0.776977227722467,0.34922475444273177
4,AS14.01,2014-03-30,4,0.7105263157894737,0.6472172351885095,0.5523560209424084,0.6027164685908319,0.2038923046695805,0.10344827586206896,0.16923076923076924,0.11341692568971924,0.03817146441711039,0.5525319338603711,0.6918705027858093,0.2659552048716103
5,AS14.01,2014-03-31,4,0.6947368421052633,0.6876122082585274,0.47382198952879584,0.6281833616298813,0.18151924932978625,0.06896551724137932,0.16923076923076924,0.09714090414094748,0.03817146441711039,0.5128510370833249,0.5269525401803188,0.20724206985788607
6,AS14.01,2014-04-01,1,0.47368421052631576,0.7307001795332131,0.48952879581151837,0.6281833616298813,0.1675351240557449,0.06896551724137932,0.26153846153846155,0.12370279490234556,0.042873086520834554,0.5903054941308505,0.4771011940475962,0.11086554769644989
7,AS14.01,2014-04-02,2,0.5526315789473684,0.6768402154398558,0.48952879581151837,0.5466893039049237,0.14889101113535078,0.03448275862068966,0.24615384615384617,0.1334324445570065,0.05616488898141382,0.9999999999999999,0.4722612198475081,0.2472877573509603
8,AS14.01,2014-04-03,1,0.536842105263158,0.682226211849192,0.5628272251308901,0.5534804753820035,0.15171417696675651,0.03448275862068966,0.23076923076923078,0.18243784106686078,0.0430681299733554,0.764972849528067,0.6261459758056753,0.3392231475643594
9,AS14.01,2014-04-04,1,0.5052631578947369,0.5960502692998202,0.45287958115183247,0.4516129032258065,0.14310459216626903,0.0,0.23076923076923078,0.18931806892122444,0.0430681299733554,0.6679792099675906,0.781368288925413,0.42167768627215774
10,AS14.01,2014-04-05,2,0.6000000000000001,0.5260323159784557,0.5078534031413613,0.41595925297113756,0.17833241275826453,0.03448275862068966,0.26153846153846155,0.20528073171288455,0.0430681299733554,0.7214261193537369,0.8625963441620759,0.47705533767379876
11,AS14.01,2014-04-06,2,0.5526315789473684,0.4937163375224414,0.47643979057591623,0.41595925297113756,0.20034939584852504,0.03448275862068966,0.16923076923076924,0.1761776536075155,0.03836650786963123,0.7027708507047559,0.7707347617668147,0.44542034580716283
12,AS14.01,2014-04-07,2,0.5526315789473684,0.5206463195691198,0.4018324607329843,0.46689303904923607,0.17581794392294867,0.03448275862068966,0.2153846153846154,0.17585622019462094,0.018823300921637733,0.254363411125062,0.6811409827261261,0.28937891071108535
13,AS14.01,2014-04-08,2,0.5684210526315789,0.5206463195691198,0.3232984293193718,0.4244482173174873,0.1525528710221012,0.03448275862068966,0.16923076923076924,0.11821668742526092,0.012082312563058384,0.23817415897594973,0.6004208627987189,0.22494162283233637
14,AS14.01,2014-04-09,4,0.6947368421052633,0.5314183123877916,0.3861256544502618,0.45840407470288635,0.1643967801966111,0.03448275862068966,0.12307692307692308,0.11753531070266121,0.012082312563058384,0.20255298915292377,0.5488459720919799,0.20831001306493188
15,AS14.01,2014-04-10,4,0.6947368421052633,0.59605026929982,0.3075916230366492,0.5195246179966044,0.16153429550595436,0.0,0.15384615384615385,0.14391039740815975,0.012082312563058384,0.26498284514934,0.557406857001721,0.23044130908141044
16,AS14.01,2014-04-11,3,0.631578947368421,0.6283662477558347,0.3075916230366493,0.5398981324278438,0.1433569737869247,0.0,0.26153846153846155,0.1480697768273839,0.014310566871791497,0.280198975201616,0.6297719587216865,0.2547062190379147
17,AS14.01,2014-04-12,4,0.6710526315789473,0.6552962298025133,0.27225130890052357,0.5704584040747029,0.15042938426569516,0.0,0.2,0.13756216514441288,0.0037999021383487404,0.3237568832750041,0.6623289041890564,0.26575283507585257
18,AS14.01,2014-04-13,5,0.7894736842105263,0.6956912028725313,0.26570680628272253,0.6213921901528014,0.1602257408552508,0.0,0.18461538461538463,0.12338260374418683,0.0022282543087331144,0.34339666687947673,0.6817705693247347,0.22816390135477138
19,AS14.01,2014-04-14,4,0.6631578947368422,0.771095152603231,0.19895287958115182,0.6893039049235994,0.13239366508723305,0.0,0.16923076923076924,0.10547783095490726,0.0022282543087331144,0.33562738215538707,0.5152999603904407,0.1516970328007113
20,AS14.01,2014-04-15,1,0.536842105263158,0.7603231597845597,0.16753926701570676,0.6485568760611206,0.1158245496699479,0.03448275862068966,0.12307692307692308,0.07417953344949453,0.0022282543087331144,0.4297278804962214,0.5831277227905096,0.15722745725162326
21,AS14.01,2014-04-16,4,0.6631578947368422,0.7064631956912024,0.19895287958115182,0.6485568760611207,0.12088608536421219,0.06896551724137932,0.13846153846153847,0.07456711692707174,0.0,0.41048233279313995,0.6149314753569238,0.25490006705592555
22,AS14.01,2014-04-17,2,0.5684210526315789,0.7172351885098736,0.35209424083769636,0.6179966044142615,0.13728601482288094,0.10344827586206896,0.13846153846153847,0.07291057023684985,0.0,0.4050449297802232,0.6303335499980851,0.291437622709862
23,AS14.01,2014-04-18,2,0.6000000000000001,0.6822262118491917,0.3795811518324607,0.6027164685908319,0.1303258292352914,0.10344827586206896,0.16923076923076924,0.06898659809006442,0.0,0.33890078690259773,0.6740301579336139,0.3465365671277179
24,AS14.01,2014-04-19,5,0.7578947368421052,0.6175942549371631,0.41492146596858637,0.5823429541595926,0.16665018427317013,0.10344827586206896,0.18461538461538463,0.06177841498544313,0.0,0.3716937333043568,0.7836127125508756,0.4062239954961957
25,AS14.01,2014-04-20,4,0.6710526315789473,0.649910233393177,0.49345549738219896,0.6230899830220713,0.17370724751091526,0.06896551724137932,0.18461538461538463,0.04413622379094842,0.002671994240751789,0.2469243043423773,0.6875691851267974,0.3309032312966565
26,AS14.01,2014-04-21,5,0.7263157894736842,0.6956912028725311,0.4738219895287958,0.6179966044142615,0.16676308546325086,0.10344827586206896,0.09230769230769231,0.03230172876827494,0.002671994240751789,0.21100004148720228,0.6424126541786449,0.2653332346999854
27,AS14.01,2014-04-22,4,0.6947368421052633,0.7172351885098736,0.39528795811518325,0.66893039049236,0.16037580009345612,0.06896551724137932,0.12307692307692308,0.03498266977002606,0.002671994240751789,0.22294599118622657,0.5600848027535048,0.22195846240338182
