,average_mood,mood_class
388,6.4,1
389,6.4,1
390,6.0,1
391,5.4,1
392,6.5,2
393,6.2,1
394,6.25,1
395,6.4,1
396,6.25,1
397,5.25,1
398,6.4,1
399,6.6,2
400,6.8,2
401,5.6,1
402,6.6,2
403,6.8,2
404,7.0,3
405,6.8,2
406,6.6,2
407,5.8,1
408,6.4,1
409,6.0,1
410,6.5,2
411,5.8,1
412,6.6,2
413,5.6,1
414,7.0,3
415,6.0,1
416,6.6,2
417,6.0,1
418,6.25,1
419,6.2,1
420,5.5,1
421,5.6,1
422,4.8,1
423,6.0,1
424,7.0,3
425,7.8,5
426,7.0,3
427,6.4,1
428,6.6,2
429,7.0,3
430,7.8,5
431,6.4,1
432,6.4,1
433,8.4,5
434,7.4,4
435,8.8,5
436,7.6,5
437,8.4,5
438,7.4,4
439,7.6,5
440,7.2,4
441,6.2,1
442,7.0,3
443,7.5,4
444,7.4,4
445,7.6,5
446,7.8,5
447,6.8,2
448,6.25,1
449,7.4,4
450,8.2,5
451,7.8,5
452,7.6,5
453,6.8,2
454,6.8,2
455,6.6,2
456,6.8,2
457,6.0,1
458,6.0,1
459,6.4,1
460,3.5,1
461,7.2,4
462,6.6,2
463,7.4,4
464,5.75,1
465,7.4,4
466,7.666666666666667,5
467,7.75,5
468,8.8,5
469,8.0,5
470,8.166666666666666,5
471,8.5,5
472,7.833333333333333,5
473,8.333333333333334,5
474,8.0,5
475,7.25,4
476,8.0,5
477,7.0,3
478,6.4,1
479,5.8,1
480,6.0,1
481,6.5,2
482,5.75,1
483,7.0,3
484,6.6,2
485,6.2,1
486,8.0,5
487,6.5,2
488,6.75,2
489,6.2,1
490,7.0,3
491,7.333333333333333,4
492,7.5,4
493,7.4,4
494,7.4,4
495,7.0,3
496,6.8,2
497,8.0,5
498,6.666666666666667,2
499,7.75,5
500,7.5,4
501,7.5,4
502,6.0,1
503,6.0,1
504,6.2,1
505,6.5,2
506,6.75,2
507,7.5,4
508,7.0,3
509,7.0,3
510,7.0,3
511,7.333333333333333,4
512,8.0,5
513,8.0,5
514,7.666666666666667,5
515,7.0,3
516,6.0,1
517,6.666666666666667,2
518,6.8,2
519,6.8,2
520,7.0,3
521,6.5,2
522,6.75,2
523,6.166666666666667,1
524,6.4,1
525,7.2,4
526,7.4,4
527,7.0,3
528,7.0,3
529,7.0,3
530,7.0,3
531,7.0,3
532,7.0,3
533,7.2,4
534,7.0,3
535,7.2,4
536,7.0,3
537,7.4,4
538,7.2,4
539,7.2,4
540,7.2,4
541,7.2,4
542,7.2,4
543,7.8,5
544,6.2,1
545,6.8,2
546,6.8,2
547,7.0,3
548,7.2,4
549,7.0,3
550,7.4,4
551,7.0,3
552,7.0,3
553,7.0,3
554,7.0,3
555,6.4,1
556,6.0,1
557,7.0,3
558,7.0,3
559,7.2,4
560,7.0,3
561,7.0,3
562,7.0,3
563,7.0,3
564,6.2,1
565,7.0,3
566,7.0,3
567,7.0,3
568,6.0,1
569,6.6,2
570,7.0,3
571,6.8,2
572,7.0,3
573,7.0,3
574,8.0,5
575,7.4,4
576,6.4,1
577,6.6,2
578,7.2,4
579,6.6,2
580,6.4,1
581,5.666666666666667,1
582,6.8,2
583,6.5,2
584,7.0,3
585,6.4,1
586,6.0,1
587,5.6,1
588,6.0,1
589,6.5,2
590,6.0,1
591,5.4,1
592,6.0,1
593,5.8,1
594,6.4,1
595,6.25,1
596,6.2,1
597,7.0,3
598,6.75,2
599,7.0,3
600,6.4,1
601,7.2,4
602,6.6,2
603,7.0,3
604,7.0,3
605,6.4,1
606,7.0,3
607,6.6,2
608,7.25,4
609,7.0,3
610,6.8,2
611,7.2,4
612,7.0,3
613,7.25,4
614,6.6,2
615,7.25,4
616,5.4,1
617,7.2,4
618,6.75,2
619,7.2,4
620,8.0,5
621,7.0,3
622,7.0,3
623,7.0,3
624,8.0,5
625,7.0,3
626,8.0,5
627,7.25,4
628,7.5,4
629,7.6,5
630,7.2,4
631,7.333333333333333,4
632,6.2,1
633,6.4,1
634,7.25,4
635,8.0,5
636,7.4,4
637,7.4,4
638,7.4,4
639,7.0,3
640,7.5,4
641,7.2,4
642,7.2,4
643,7.2,4
644,6.8,2
645,8.0,5
646,7.25,4
647,7.4,4
648,7.5,4
649,7.2,4
650,7.0,3
651,7.0,3
652,7.25,4
653,7.0,3
654,7.0,3
655,7.0,3
656,6.75,2
657,7.2,4
658,7.2,4
659,7.2,4
660,7.0,3
661,7.0,3
662,7.2,4
663,7.0,3
664,7.0,3
665,7.0,3
666,7.2,4
667,7.4,4
668,6.6,2
669,7.25,4
670,7.2,4
671,7.2,4
672,8.0,5
673,7.2,4
674,6.75,2
675,7.0,3
676,7.0,3
677,8.0,5
678,7.0,3
679,7.25,4
680,4.666666666666667,1
681,6.6,2
682,7.0,3
683,6.0,1
684,5.5,1
685,6.0,1
686,6.6,2
687,6.6,2
688,7.4,4
689,7.0,3
690,7.2,4
691,6.4,1
692,7.6,5
693,6.6,2
694,7.0,3
695,8.0,5
696,7.25,4
697,6.6,2
698,6.8,2
699,7.2,4
700,6.75,2
701,6.8,2
702,7.2,4
703,7.2,4
704,7.0,3
705,6.4,1
706,6.8,2
707,6.8,2
708,6.8,2
709,6.8,2
710,7.6,5
711,6.4,1
712,6.8,2
713,6.0,1
714,6.6,2
715,7.25,4
716,7.75,5
717,6.333333333333333,1
718,6.4,1
719,7.2,4
720,7.0,3
721,6.8,2
722,7.8,5
723,7.4,4
724,6.6,2
725,7.0,3
726,7.0,3
727,7.0,3
728,7.5,4
729,7.6,5
730,6.8,2
731,6.0,1
732,6.8,2
733,7.0,3
734,6.25,1
735,7.4,4
736,7.5,4
737,7.0,3
738,6.25,1
739,6.5,2
740,6.666666666666667,2
741,7.0,3
742,7.0,3
743,7.0,3
744,6.8,2
745,7.25,4
746,7.75,5
747,7.0,3
748,7.5,4
749,6.8,2
750,6.8,2
751,6.8,2
752,6.8,2
753,7.2,4
754,6.4,1
755,6.75,2
756,7.5,4
757,7.6,5
758,7.4,4
759,6.4,1
760,7.0,3
761,7.0,3
762,7.0,3
763,7.0,3
764,6.8,2
765,6.8,2
766,7.25,4
767,7.0,3
768,7.0,3
769,7.2,4
770,6.75,2
771,7.333333333333333,4
772,7.0,3
773,7.0,3
774,7.0,3
775,5.8,1
776,6.2,1
777,7.0,3
778,7.0,3
779,7.0,3
780,7.25,4
781,7.0,3
782,7.5,4
783,7.5,4
784,7.0,3
785,7.0,3
786,7.0,3
787,6.5,2
788,7.0,3
789,5.75,1
790,6.6,2
791,7.2,4
792,7.0,3
793,7.0,3
794,7.75,5
795,7.2,4
796,7.25,4
797,7.4,4
798,7.4,4
799,7.6,5
800,7.75,5
801,7.75,5
802,7.2,4
803,6.2,1
804,7.0,3
805,7.4,4
806,7.8,5
807,7.5,4
808,7.0,3
809,7.6,5
810,7.4,4
811,9.0,5
812,8.0,5
813,7.6,5
814,7.4,4
815,6.75,2
816,7.0,3
817,7.25,4
818,7.8,5
819,7.5,4
820,7.2,4
821,7.5,4
822,6.8,2
823,6.2,1
824,7.6,5
825,7.0,3
826,6.8,2
827,6.0,1
828,6.333333333333333,1
829,7.4,4
830,7.0,3
831,6.833333333333333,2
832,7.5,4
833,6.0,1
834,7.0,3
835,7.0,3
836,7.4,4
837,7.0,3
838,7.25,4
839,7.0,3
840,7.5,4
841,5.2,1
842,6.4,1
843,7.0,3
844,7.6,5
845,7.2,4
846,7.4,4
847,7.0,3
848,6.2,1
849,6.6,2
850,6.8,2
851,7.2,4
852,7.0,3
853,7.0,3
854,6.2,1
855,6.6,2
856,7.0,3
857,7.4,4
858,7.0,3
859,6.833333333333333,2
860,6.75,2
861,7.8,5
862,7.0,3
863,7.0,3
864,7.5,4
865,8.0,5
866,6.5,2
867,8.0,5
868,7.4,4
869,6.5,2
870,7.75,5
871,7.0,3
872,6.6,2
873,6.4,1
874,6.5,2
875,7.2,4
876,6.5,2
877,6.25,1
878,7.5,4
879,6.8,2
880,7.4,4
881,8.25,5
882,6.5,2
883,6.0,1
884,6.25,1
885,7.0,3
886,7.4,4
887,7.2,4
888,6.0,1
889,6.2,1
890,7.0,3
891,6.5,2
892,6.4,1
893,7.2,4
894,6.666666666666667,2
895,7.5,4
896,7.0,3
897,6.6,2
898,6.4,1
899,6.2,1
900,8.0,5
901,8.2,5
902,7.2,4
903,7.0,3
904,6.6,2
905,6.4,1
906,6.8,2
907,6.75,2
908,8.0,5
909,6.75,2
910,6.75,2
911,6.4,1
912,6.4,1
913,6.6,2
914,6.6,2
915,7.75,5
916,7.0,3
917,7.4,4
918,6.8,2
919,6.8,2
920,6.0,1
921,7.2,4
922,8.0,5
923,8.0,5
924,6.4,1
925,7.25,4
926,6.2,1
927,5.8,1
928,6.6,2
929,8.0,5
930,7.8,5
931,8.0,5
932,6.6,2
933,6.2,1
934,6.8,2
935,7.2,4
936,7.8,5
937,7.4,4
938,6.5,2
939,6.8,2
940,6.6,2
941,6.8,2
942,8.0,5
943,6.2,1
944,6.4,1
945,7.0,3
946,6.0,1
947,6.4,1
948,7.4,4
949,7.4,4
950,7.2,4
951,7.4,4
952,7.6,5
953,7.0,3
