,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_sms,last_5day_total_calls,last_5day_total_other,last_5day_attr1,last_5day_attr2,last_5day_attr3,last_5day_attr4
5,AS14.01,2014-03-26,2,6.6,6.43,0.45999999999999996,0.4,0.138201321508103,0.4,3.8,131.21880000000002,35.0432,504.1282,21137.283200132362,2289.772
6,AS14.01,2014-03-27,3,7.0,6.51,0.38,0.48,0.13165296504424046,0.4,2.6,102.76820000000001,0.602,207.9614,21348.43920019073,2307.0412000000006
7,AS14.01,2014-03-28,1,6.4,6.63,0.3,0.54,0.11617904939006832,0.4,2.4,94.846,37.0922,222.2448,24112.35880015945,2410.4196
8,AS14.01,2014-03-29,5,8.0,6.55,0.14,0.5,0.10677043055647961,0.4,3.4,125.4716,83.6994,503.17279999999994,23050.404399790954,2335.8754000000004
9,AS14.01,2014-03-30,4,7.5,6.95,0.020000000000000007,0.7,0.10461878135373395,0.6,2.2,146.0788,83.0974,514.0797999999999,20525.562799629588,1778.9065999999998
10,AS14.01,2014-03-31,4,7.4,7.1,-0.18,0.75,0.09476255297994099,0.4,2.2,125.11560000000001,83.0974,477.16039999999987,15632.979600004579,1386.1894
11,AS14.01,2014-04-01,1,6.0,7.26,-0.13999999999999999,0.75,0.0886019848226037,0.4,3.4,159.3268,93.3326,549.2245999999999,14154.051200003052,741.5514000000002
12,AS14.01,2014-04-02,2,6.5,7.06,-0.13999999999999999,0.5900000000000001,0.08038850517133143,0.2,3.2,171.8584,122.26820000000001,930.4073999999998,14010.464800535967,1654.0448000000004
13,AS14.01,2014-04-03,1,6.4,7.080000000000001,0.04666666666666667,0.6033333333333333,0.08163222297155209,0.2,3.0,234.9764,93.75720000000001,711.7364,18575.728400598524,2268.9772000000003
14,AS14.01,2014-04-04,1,6.2,6.760000000000001,-0.2333333333333333,0.4033333333333333,0.07783935549286639,0.0,3.0,243.83800000000002,93.75720000000001,621.4928,23180.673000801085,2820.4946000000004
15,AS14.01,2014-04-05,2,6.8,6.5,-0.09333333333333335,0.3333333333333333,0.09335862363002315,0.2,3.4,264.39760000000007,93.75720000000001,671.2202,25590.447000615695,3190.9016
16,AS14.01,2014-04-06,2,6.5,6.38,-0.17333333333333334,0.3333333333333333,0.10305798789403435,0.2,2.2,226.9134,83.522,653.8632,22865.21060054474,2979.3032000000003
17,AS14.01,2014-04-07,2,6.5,6.4799999999999995,-0.36333333333333334,0.4333333333333333,0.09225089923998075,0.2,2.8,226.4994,40.9774,236.6616,20207.25260009346,1935.5818000000004
18,AS14.01,2014-04-08,2,6.6,6.4799999999999995,-0.5633333333333332,0.35,0.08200170134719964,0.2,2.2,152.26080000000002,26.3026,221.59900000000002,17812.54740007057,1504.5772000000002
19,AS14.01,2014-04-09,4,7.4,6.5200000000000005,-0.4033333333333333,0.4166666666666667,0.08721941845778114,0.2,1.6,151.38320000000002,26.3026,188.4568,16282.487000295258,1393.3326000000002
20,AS14.01,2014-04-10,4,7.4,6.76,-0.6033333333333334,0.5366666666666667,0.08595837912278173,0.0,2.0,185.35380000000004,26.3026,246.542,16536.46080049019,1541.3632000000002
21,AS14.01,2014-04-11,3,7.0,6.880000000000001,-0.6033333333333333,0.5766666666666667,0.07795053972107083,0.0,3.4,190.711,31.153399999999998,260.6992,18683.299600343704,1703.6650000000002
22,AS14.01,2014-04-12,4,7.25,6.980000000000001,-0.6933333333333334,0.6366666666666667,0.0810662202471893,0.0,2.6,177.1774,8.272200000000002,301.22580000000005,19649.15900042496,1777.5530000000003
23,AS14.01,2014-04-13,5,8.0,7.130000000000001,-0.7100000000000001,0.7366666666666667,0.08538190830638935,0.0,2.4,158.9144,4.8508000000000004,319.4988,20225.930400658035,1526.1302000000003
24,AS14.01,2014-04-14,4,7.2,7.409999999999999,-0.8800000000000001,0.8699999999999999,0.0731207624449938,0.0,2.2,135.85340000000002,4.8508000000000004,312.27020000000005,15287.285200125121,1014.6628000000003
25,AS14.01,2014-04-15,1,6.4,7.37,-0.9600000000000002,0.7899999999999999,0.06582140243250487,0.2,1.6,95.54180000000004,4.8508000000000004,399.822,17299.515799775316,1051.6544000000001
26,AS14.01,2014-04-16,4,7.2,7.17,-0.8800000000000001,0.79,0.0680512119496717,0.4,1.8,96.04100000000003,0.0,381.91580000000005,18243.030399599076,1704.9616
27,AS14.01,2014-04-17,2,6.6,7.209999999999999,-0.49000000000000005,0.7300000000000001,0.07527603876048405,0.6,1.8,93.90740000000002,0.0,376.8568,18699.960199350357,1949.3520000000003
28,AS14.01,2014-04-18,2,6.8,7.08,-0.4200000000000001,0.7,0.07220979780083979,0.6,2.2,88.85340000000004,0.0,315.31579999999997,19996.29739930344,2317.8948000000005
29,AS14.01,2014-04-19,5,7.8,6.840000000000001,-0.33000000000000007,0.66,0.08821213334896086,0.6,2.4,79.56940000000003,0.0,345.8266,23247.25779938393,2717.1288000000004
30,AS14.01,2014-04-20,4,7.25,6.959999999999999,-0.13000000000000012,0.74,0.09132105279975208,0.4,2.4,56.846600000000024,5.8168,229.74019999999996,20397.956599660494,2213.3274000000006
31,AS14.01,2014-04-21,5,7.6,7.13,-0.1800000000000001,0.73,0.08826187085223022,0.6,1.2,41.60400000000002,5.8168,196.31599999999997,19058.30820005722,1774.7464000000004
32,AS14.01,2014-04-22,4,7.4,7.209999999999999,-0.3800000000000001,0.8300000000000001,0.08544801542045519,0.4,1.6,45.05700000000002,5.8168,207.43059999999997,16615.90680011139,1484.6236000000004
33,AS14.01,2014-04-23,5,7.6,7.369999999999999,-0.26000000000000006,0.9100000000000001,0.09245035445049424,0.4,1.6,46.93640000000002,5.8168,282.13,16803.53479981766,1355.3946
34,AS14.01,2014-04-24,5,7.6,7.529999999999999,-0.06000000000000009,0.95,0.08284089093825214,0.4,1.6,45.858200000000025,5.8168,301.0079999999999,17644.43459978218,1041.7074
35,AS14.01,2014-04-25,4,7.2,7.49,-0.10000000000000009,0.95,0.07313510623229096,0.4,1.6,45.94840000000002,0.0,367.547,21594.995399690633,1522.9418
36,AS14.01,2014-04-26,5,7.6,7.4799999999999995,-0.0900000000000001,0.96,0.07998407035103325,0.2,1.6,52.87740000000002,0.0,425.59799999999996,23164.63219955254,1523.0252
37,AS14.01,2014-04-27,4,7.5,7.4799999999999995,-0.0800000000000001,0.96,0.10242561288223084,1.0,1.8,50.50860000000002,0.0,527.0732,25617.27499957581,1910.336
38,AS14.01,2014-04-28,5,7.6,7.5,-0.1200000000000001,0.96,0.09013548727756515,1.0,1.4,249.21339999999992,0.0,454.4978,21955.29119972992,1623.6298000000002
39,AS14.01,2014-04-29,3,7.0,7.5,-0.3200000000000001,0.9199999999999999,0.08487341395849184,1.0,1.6,255.25059999999993,0.0,481.14759999999995,20603.771399779514,2092.5371999999998
40,AS14.01,2014-04-30,5,7.8,7.38,-0.29000000000000015,0.9199999999999999,0.09524446602558587,1.0,1.4,256.9583999999999,66.661,418.15500000000003,16009.14819956703,1595.1396
41,AS14.01,2014-05-01,5,8.0,7.5,-0.33000000000000007,0.9100000000000001,0.10364254510636983,0.8,1.2,280.34559999999993,66.661,412.9156,14274.581599445344,1238.2241999999999
42,AS14.01,2014-05-02,5,7.6,7.58,-0.3700000000000001,0.9100000000000001,0.06820584441105422,0.8,2.0,279.9905999999999,72.2806,309.5222,15475.340799272157,1842.2542
43,AS14.01,2014-05-03,5,8.0,7.6,-0.41000000000000014,0.9100000000000001,0.07757826351061663,0.8,2.0,75.1424,72.2806,299.6712,18220.34959941864,2091.0134000000003
44,AS14.01,2014-05-04,5,8.0,7.68,-0.29000000000000015,0.95,0.08799137598197124,1.0,1.6,68.7394,72.2806,277.47979999999995,17907.173999627303,1619.5796000000003
50,AS14.02,2014-03-21,4,7.5,7.0666666666666655,0.2,0.49000000000000005,0.21456502989459497,0.8,7.6,158.584,0.0,113.43299999999999,10301.035200751878,135.2792
51,AS14.02,2014-03-22,2,6.5,7.3,0.05,0.64,0.24636748823337218,0.8,8.8,84.5516,0.0,201.8922,11567.24580065193,176.5652
52,AS14.02,2014-03-23,1,6.25,7.25,-0.25,0.44000000000000006,0.3019625426098873,1.0,13.0,72.45259999999999,0.0,358.0156,10150.379000982284,237.69299999999998
53,AS14.02,2014-03-24,1,6.4,6.859999999999999,-0.5700000000000001,0.27999999999999997,0.3120050971655063,1.0,11.6,67.0812,0.0,610.6533999999999,9794.78480083809,229.619
54,AS14.02,2014-03-25,5,7.75,6.779999999999999,-0.61,0.16,0.28010367829567767,0.8,11.6,62.3356,0.0,497.2204,8861.776400687027,266.61620000000005
55,AS14.02,2014-03-26,4,7.2,6.88,-0.76,0.16,0.2784014172248989,0.6,11.0,55.03920000000001,0.0,497.2204,9106.345000428773,269.986
56,AS14.02,2014-03-27,4,7.25,6.82,-0.85,0.09000000000000001,0.27926652472604585,0.4,10.0,55.8404,0.0,408.7611999999999,8085.691800771334,504.78639999999996
57,AS14.02,2014-03-28,2,6.8,6.970000000000001,-0.65,0.29000000000000004,0.23582758914389582,0.2,5.6,193.5702,0.0,266.07039999999995,7911.7069999427795,439.3262
58,AS14.02,2014-03-29,4,7.25,7.08,-0.5700000000000001,0.41,0.23420782335281723,0.4,5.6,206.331,0.0,13.432600000000003,7744.8717996368405,948.3704
59,AS14.02,2014-03-30,3,7.0,7.25,-0.76,0.5,0.28947676186459625,0.4,5.4,200.5376,0.0,113.76140000000001,8004.303199275589,1006.5810000000001
60,AS14.02,2014-03-31,4,7.2,7.1,-0.71,0.5,0.29175149265209904,0.6,6.0,213.10819999999998,0.0,113.76140000000001,7692.455999045944,1041.4718
61,AS14.02,2014-04-01,4,7.4,7.1,-0.63,0.5,0.26423538490378595,1.0,7.8,221.0664,0.0,113.76140000000001,7340.415598718644,1136.7934
62,AS14.02,2014-04-02,1,6.4,7.13,-0.67,0.56,0.27085768955716666,1.2,7.6,111.97840000000001,0.0,169.36880000000002,6432.919398378754,1158.7444
