,id,date,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_other,group,total_professional,total_recreation,total_convenience
29,AS14.01,2014-04-19,5,7.8,-0.2,1.0,0.0994319117238402,13293.2480006218,0.0,1.0,946.19,2728.26,31.482,1.0,95.629,895.03,434.686
30,AS14.01,2014-04-20,4,7.25,-0.25,0.75,0.0748162430431159,8343.518000364305,2.0,2.0,897.086,4984.723999999999,34.202,1.0,10.606,2965.2340000000004,121.035
31,AS14.01,2014-04-21,4,7.6,-0.25,1.0,0.1020410589682471,3832.9909992218018,0.0,2.0,3442.2319999999995,2004.347,58.04899999999999,1.0,33.266,503.852,279.16
32,AS14.01,2014-04-22,4,7.4,0.2,1.0,0.091929551822292,15490.269999265667,0.0,2.0,2212.954,11360.913,63.16,1.0,38.453,2523.5649999999996,423.215
33,AS14.01,2014-04-23,4,7.6,0.2,1.0,0.0459856891337655,14535.339999437332,0.0,1.0,1130.842,8928.472000000002,42.398,1.0,18.051,874.025,246.944
34,AS14.01,2014-04-24,4,7.6,-0.4,1.0,0.0509029881940343,22086.478000164043,0.0,1.0,1466.2710000000002,9692.133000000002,31.933,1.0,209.937,7153.511,767.3810000000001
35,AS14.01,2014-04-25,3,7.2,-0.2,0.8,0.1090610636368274,13973.941999673843,1.0,2.0,817.613,7279.144,68.847,1.0,21.071,2878.526,411.2900000000001
36,AS14.01,2014-04-26,4,7.6,-0.2,1.0,0.214248771624235,15482.018999338148,4.0,3.0,864.5190000000001,2567.857,49.353,1.0,27.267,2493.933,786.5359999999998
37,AS14.01,2014-04-27,4,7.5,0.0,1.0,0.0304789237989636,5700.562000036243,0.0,0.0,1291.314,2431.498,1056.6839999999995,1.0,0.0,1537.691,60.338
38,AS14.01,2014-04-28,4,7.6,-0.8,0.8,0.0196753225383989,10807.829999685284,0.0,2.0,1312.001,4697.372,72.584,1.0,465.253,3972.3709999999996,380.1930000000001
39,AS14.01,2014-04-29,2,7.0,-0.25,1.0,0.1027582485295044,7873.291999101639,0.0,0.0,5289.9130000000005,3834.645,40.472,1.0,0.0,2307.323,452.418
40,AS14.01,2014-04-30,5,7.8,-0.4,0.75,0.1510514590407472,9175.6049990654,0.0,1.0,844.9630000000002,3550.6180000000004,185.783,1.0,375.022,594.028,385.093
41,AS14.01,2014-05-01,5,8.0,-0.4,1.0,0.037065268147657,15516.951998472214,4.0,7.0,1876.113,8191.41,44.43,1.0,1349.202,5389.808,269.569
42,AS14.01,2014-05-02,4,7.6,-0.2,1.0,0.0773410192967756,15088.51900076866,0.0,0.0,795.436,7925.918,32.443,1.0,1069.748,1124.154,11.083
43,AS14.01,2014-05-03,5,8.0,-0.2,1.0,0.071740884895172,8186.036000728605,1.0,0.0,753.2569999999998,4539.775999999999,70.671,1.0,296.313,2967.552,269.236
44,AS14.01,2014-05-04,5,8.0,-0.5,1.0,0.1361918083770384,5889.194999456405,0.0,0.0,1758.438,3381.6890000000003,35.525000000000006,1.0,0.0,1423.083,0.0
45,AS14.02,2014-03-16,1,6.333333333333333,0.0,0.0,0.11844201500115994,4902.626999616626,1.0,4.0,2481.735,3151.829,408.106,2.0,0.0,269.983,0.0
46,AS14.02,2014-03-17,2,6.75,0.5,0.5,0.1680684149503257,10159.769001245491,0.0,4.0,1229.347,4518.116,103.69899999999998,2.0,0.0,2614.2059999999997,0.0
47,AS14.02,2014-03-18,5,8.2,0.6,0.8,0.2194843842554375,4512.4710013866425,1.0,15.0,2604.521,3933.081,88.72200000000001,2.0,0.0,301.307,0.0
48,AS14.02,2014-03-19,2,6.8,0.4,0.4,0.3156317568506431,8182.757000207905,1.0,5.0,1554.558,2596.989,105.536,2.0,0.0,243.954,567.165
49,AS14.02,2014-03-20,4,7.25,-0.5,0.75,0.2390249602103473,4360.33400130272,1.0,10.0,1777.977,2154.371,86.857,2.0,0.0,279.778,0.0
50,AS14.02,2014-03-21,4,7.5,-0.75,0.75,0.2896279249001074,11155.850999116894,1.0,10.0,2230.303,2858.4460000000004,37.944,2.0,0.0,847.625,442.2960000000001
51,AS14.02,2014-03-22,2,6.5,-1.0,-0.5,0.4460436868329013,7589.562002897265,1.0,25.0,1930.266,1852.2560000000003,43.204,2.0,0.0,1071.578,780.617
52,AS14.02,2014-03-23,1,6.25,-1.0,0.0,0.2696971570335323,4528.527000665666,1.0,8.0,894.5060000000001,1839.899,61.865,2.0,0.0,560.092,1263.1889999999996
53,AS14.02,2014-03-24,1,6.4,0.2,-0.2,0.1561246625014999,2766.6489994525905,0.0,5.0,1073.496,3012.181000000001,81.80799999999999,2.0,0.0,764.8140000000001,0.0
