,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_screen,last_5day_total_sms,last_5day_total_calls,last_5day_total_built_in,last_5day_total_communication,last_5day_total_entertainment,last_5day_total_finance,last_5day_total_game,last_5day_total_office,last_5day_total_other,last_5day_total_social,last_5day_total_travel,last_5day_total_unknown,last_5day_total_utilities,last_5day_total_weather
24,AS14.01,2014-04-14,8,7.2,7.409999999999999,-0.8800000000000001,0.8699999999999999,0.0731207624449938,9427.558800125122,0.0,2.2,1294.5727999999995,4417.3913999999995,1442.3349999999998,35.3012,0.2118,4.639,135.85340000000002,979.3616000000002,7.853000000000046,0.0,304.4172,0.0
25,AS14.01,2014-04-15,6,6.4,7.37,-0.9600000000000002,0.7899999999999999,0.06582140243250487,10312.990599775314,0.2,1.6,1159.1655999999996,4479.233,2507.2922,53.165800000000004,0.2118,4.639,95.54180000000004,998.4886,13.673800000000046,0.0,386.1482,0.0
26,AS14.01,2014-04-16,8,7.2,7.17,-0.8800000000000001,0.79,0.0680512119496717,11170.815399599076,0.4,1.8,1335.3657999999996,4747.7970000000005,2324.418,55.7744,0.0,0.0,96.04100000000003,1649.1872000000003,15.346400000000045,0.0,366.5694,0.0
27,AS14.01,2014-04-17,6,6.6,7.209999999999999,-0.49000000000000005,0.7300000000000001,0.07527603876048405,11569.941199350356,0.6,1.8,846.2821999999996,5115.4818,2014.5372000000002,36.955799999999996,0.0,0.0,93.90740000000002,1912.3962000000004,8.499600000000045,0.0,368.3572,0.0
28,AS14.01,2014-04-18,6,6.8,7.08,-0.4200000000000001,0.7,0.07220979780083979,12223.47539930344,0.6,2.2,896.2331999999997,6167.133,1605.689,36.955799999999996,0.0,0.0,88.85340000000004,2280.9390000000003,7.493400000000046,0.0,307.8223999999999,0.0
29,AS14.01,2014-04-19,8,7.8,6.840000000000001,-0.33000000000000007,0.66,0.08821213334896086,14520.47099938393,0.6,2.4,1178.9297999999994,7016.1054,1710.6814000000002,44.3058,0.0,0.0,79.56940000000003,2672.8230000000003,20.268200000000046,0.0,325.55839999999995,0.0
30,AS14.01,2014-04-20,8,7.25,6.959999999999999,-0.13000000000000012,0.74,0.09132105279975208,13582.030999660496,0.4,2.4,1175.8515999999995,6264.500599999999,551.425,45.56699999999999,5.8168,0.0,56.846600000000024,2167.7604000000006,40.22540000000005,0.0,189.51479999999998,0.0
31,AS14.01,2014-04-21,8,7.6,7.13,-0.1800000000000001,0.73,0.08826187085223022,12533.690000057222,0.6,1.2,1035.9975999999997,6016.5992,508.01900000000006,45.0796,5.8168,0.0,41.60400000000002,1729.6668000000004,38.55280000000005,0.0,157.76319999999998,0.0
32,AS14.01,2014-04-22,8,7.4,7.209999999999999,-0.3800000000000001,0.8300000000000001,0.08544801542045519,10795.793200111391,0.4,1.6,1539.7213999999994,5382.465399999999,437.6482000000001,51.7328,5.8168,0.0,45.05700000000002,1432.8908000000006,52.208400000000054,0.0,155.2222,0.0
33,AS14.01,2014-04-23,8,7.6,7.369999999999999,-0.26000000000000006,0.9100000000000001,0.09245035445049424,10890.151199817657,0.4,1.6,1871.8719999999994,5283.9802,629.4033999999999,59.423399999999994,5.8168,0.0,46.93640000000002,1295.9712000000004,52.208400000000054,0.0,229.92159999999996,0.0
34,AS14.01,2014-04-24,8,7.6,7.529999999999999,-0.06000000000000009,0.95,0.08284089093825214,11099.07339978218,0.4,1.6,1725.8607999999997,6001.3432,544.0179999999999,39.201,5.8168,0.0,45.858200000000025,1002.5064000000002,39.43360000000005,0.0,261.57439999999997,0.0
35,AS14.01,2014-04-25,8,7.2,7.49,-0.10000000000000009,0.95,0.07313510623229096,12857.71939969063,0.4,1.6,1829.8769999999997,7394.1178,1343.1582,62.062599999999996,0.0,0.0,45.94840000000002,1460.8792,23.892400000000052,0.0,343.65459999999996,0.0
36,AS14.01,2014-04-26,8,7.6,7.4799999999999995,-0.0900000000000001,0.96,0.07998407035103325,13983.804199552536,0.2,1.6,1813.9823999999996,7853.001800000001,1327.8262,64.1556,0.0,0.0,52.87740000000002,1458.8696,36.55560000000005,0.0,389.0424,0.0
37,AS14.01,2014-04-27,8,7.5,7.4799999999999995,-0.0800000000000001,0.96,0.10242561288223084,16313.609799575806,1.0,1.8,1298.4397999999997,7965.7038,1337.9614,62.955799999999996,0.0,0.0,50.50860000000002,1846.7506,117.05460000000002,0.6296,410.0186,0.0
38,AS14.01,2014-04-28,8,7.6,7.5,-0.1200000000000001,0.96,0.09013548727756515,14355.668199729922,1.0,1.4,1114.1118,6179.8208,1419.8022,55.26520000000001,0.0,0.0,249.21339999999992,1567.7350000000001,117.05460000000002,0.6296,337.4432,0.0
