,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_screen,last_5day_total_sms,last_5day_total_calls,last_5day_total_built_in,last_5day_total_communication,last_5day_total_entertainment,last_5day_total_finance,last_5day_total_game,last_5day_total_office,last_5day_total_other,last_5day_total_social,last_5day_total_travel,last_5day_total_unknown,last_5day_total_utilities,last_5day_total_weather
511,AS14.16,2014-03-25,6,0.47368421052631576,0.5188509874326748,0.7146596858638744,0.6417657045840408,0.12391790838307867,0.03408363084292844,0.3103448275862069,0.2,0.023348292194023346,0.016553518083375234,0.012194421951182722,0.010367472252788308,0.0,0.0,0.008330404976596697,0.014457270700041016,0.0,0.0,0.0,0.0
512,AS14.16,2014-03-26,6,0.4105263157894736,0.5368043087971275,0.7094240837696335,0.66893039049236,0.14358830988617602,0.04081974561009638,0.20689655172413793,0.16923076923076924,0.021589018046150564,0.021838486315824954,0.013652481207077842,0.010367472252788308,0.0,0.0,0.010043474257298596,0.01718148868938826,0.0,0.0,0.0,0.0
513,AS14.16,2014-03-27,6,0.47368421052631576,0.47217235188509843,0.6465968586387435,0.5925297113752124,0.1572373003184991,0.06595200703615094,0.2413793103448276,0.13846153846153847,0.02079131514014149,0.025001605338651867,0.01593129025412828,0.04557797068372934,0.0,0.0,0.010043474257298596,0.020058739866484973,0.0,0.0,0.0,0.0
514,AS14.16,2014-03-28,6,0.5526315789473684,0.4452423698384198,0.6073298429319371,0.5415959252971139,0.26089594445969455,0.07086678366043686,0.6896551724137931,0.1076923076923077,0.020296192086859767,0.021261649756112853,0.15020365843402955,0.04557797068372934,0.0,0.0,0.008478699135685738,0.01959790604671262,0.0,0.0,0.0,0.0
515,AS14.16,2014-03-29,6,0.47368421052631576,0.4183123877917412,0.5484293193717278,0.5161290322580646,0.26952925691945223,0.06854274017000457,0.5862068965517242,0.015384615384615385,0.018791389912573495,0.025081033587868146,0.1427132679755713,0.03848826941625573,0.0,0.0,0.004887961821785204,0.01387743100155766,0.0,0.0,0.0,0.0
516,AS14.16,2014-03-30,6,0.37894736842105264,0.39676840215439824,0.5091623036649215,0.4855687606112055,0.335444426994968,0.06799432108253411,0.6551724137931034,0.046153846153846156,0.0183844413702185,0.023744941900554414,0.1427132679755713,0.045599706565594825,0.0,0.0,0.004521496674716996,0.014244764473910591,0.0,0.0,0.0,0.0
517,AS14.16,2014-03-31,6,0.47368421052631576,0.36445242369838393,0.493455497382199,0.5263157894736843,0.31981235048690754,0.06630234072163964,0.6206896551724138,0.1076923076923077,0.016023888535579685,0.018513294197143797,0.20178535084977003,0.045599706565594825,0.0,0.0,0.003906580580483899,0.009430408561534083,0.0,0.0,0.0,0.0
518,AS14.16,2014-04-01,6,0.4421052631578947,0.3859964093357269,0.45811518324607337,0.534804753820034,0.33984017834967456,0.038801017422285304,0.8275862068965517,0.15384615384615385,0.014271259585173827,0.013944383964957955,0.1992982240091939,0.010389208134653789,0.0,0.0,0.005172593438130978,0.0028095553707143755,0.0,0.0,0.0,0.0
519,AS14.16,2014-04-02,6,0.536842105263158,0.3752244165170555,0.4267015706806283,0.5704584040747029,0.3481663515364034,0.03745006200191557,0.3448275862068966,0.13846153846153847,0.015067203468324004,0.017790289925147213,0.06116439356731513,0.010389208134653789,0.0,0.0,0.005172593438130978,0.004254908678536596,0.009096317134459067,0.0,0.0,0.0
520,AS14.16,2014-04-03,6,0.513157894736842,0.3698384201077196,0.4698952879581152,0.5959252971137522,0.3222913993949319,0.12857914697206727,0.3448275862068966,0.2,0.012557580426643455,0.012022516339821558,0.06116439356731513,0.010389208134653789,0.0,0.0,0.005172593438130978,0.004276586885085711,0.009096317134459067,0.0,0.0,0.0
521,AS14.16,2014-04-04,6,0.5052631578947369,0.38330341113105915,0.4698952879581152,0.5789473684210527,0.21326925099197924,0.1255364130603765,0.2758620689655173,0.16923076923076924,0.009982175514239862,0.014668888000169555,0.0612062968092582,0.0,0.0,0.0,0.0065853476364473185,0.0027036461188564933,0.009096317134459067,0.0,0.0,0.0
522,AS14.16,2014-04-05,6,0.631578947368421,0.4263913824057448,0.42277486910994766,0.5585738539898133,0.2547352392171341,0.1712598433110732,0.41379310344827586,0.16923076923076924,0.024007255662161955,0.04584040080303637,0.09162648012147807,0.010903805137819075,0.0,0.0,0.008135836828598194,0.011730092514213279,0.011292814822449766,0.0,0.0,0.0
523,AS14.16,2014-04-06,6,0.5921052631578947,0.48025134649910206,0.44240837696335084,0.6264855687606112,0.23328378503586678,0.1727017775979703,0.1724137931034483,0.13846153846153847,0.026426917249059125,0.04952261550179729,0.09749562009876189,0.010903805137819075,0.0,0.0,0.009210231893244354,0.012331161904627493,0.011292814822449766,0.0,0.0,0.0
524,AS14.16,2014-04-07,6,0.631578947368421,0.5314183123877916,0.42146596858638746,0.66723259762309,0.1817280096795638,0.17418545538947985,0.13793103448275865,0.13846153846153847,0.035501660336092304,0.055648299684895805,0.10347596483351001,0.010903805137819075,0.0,0.0,0.010462114103271431,0.014589582512426995,0.0021964976879907017,0.0,0.005289741748494864,0.010859005589683527
525,AS14.16,2014-04-08,6,0.536842105263158,0.5637342908438059,0.42146596858638746,0.66723259762309,0.20712532752416146,0.1020649533458921,0.1724137931034483,0.07692307692307693,0.040868969577532124,0.061612897458465724,0.1055958390989894,0.03550828001249813,0.0,0.0,0.010462114103271431,0.018155333529523594,0.0021964976879907017,0.0,0.005289741748494864,0.010859005589683527
526,AS14.16,2014-04-09,8,0.6631578947368422,0.5718132854578093,0.5,0.701188455008489,0.2196262048666462,0.10058964219855406,0.20689655172413793,0.2,0.03998122145374639,0.055906101088066366,0.10555393585704631,0.03550828001249813,0.0,0.0,0.007798254104137904,0.016918718925038437,0.0021964976879907017,0.0,0.005289741748494864,0.010859005589683527
527,AS14.16,2014-04-10,6,0.5684210526315789,0.6256732495511665,0.47643979057591623,0.7215619694397284,0.2632481192695095,0.08098726290993208,0.06896551724137932,0.15384615384615385,0.02291604722769761,0.02293226757528111,0.013969358977511306,0.03061064243115839,0.0,0.0,0.003592290132320316,0.007892272529681651,0.0,0.0,0.005289741748494864,0.010859005589683527
528,AS14.16,2014-04-11,6,0.631578947368421,0.604129263913824,0.49214659685863876,0.7215619694397284,0.282269978732219,0.09093920920356446,0.10344827586206896,0.18461538461538463,0.024533035970984385,0.024737923284980312,0.012772058554615029,0.07826547662713454,0.015044407322830624,0.0,0.003601607042838999,0.01393983433544456,0.0,0.0,0.005289741748494864,0.010859005589683527
529,AS14.16,2014-04-12,6,0.631578947368421,0.6175942549371631,0.6230366492146597,0.7215619694397284,0.20949392533935338,0.07695411322960242,0.10344827586206896,0.18461538461538463,0.01550693126204948,0.023080704666114626,0.006791713819866889,0.07826547662713454,0.015044407322830624,0.0,0.0031283079884898888,0.013515958120216628,0.0,0.0,0.0,0.0
530,AS14.16,2014-04-13,6,0.536842105263158,0.6175942549371631,0.7369109947643979,0.7215619694397284,0.17026167611688603,0.05234118950064359,0.06896551724137932,0.24615384615384617,0.009850695535787055,0.015029048242764933,0.0046718395543875356,0.05366100175245548,0.015044407322830624,0.0,0.0031283079884898888,0.009928528896570915,0.0,0.0,0.0,0.0
531,AS14.16,2014-04-14,6,0.631578947368421,0.6175942549371631,0.6976439790575917,0.704584040747029,0.17278482642210036,0.05351931647636666,0.10344827586206896,0.13846153846153847,0.011181019395069805,0.015088446759570155,0.0046718395543875356,0.05366100175245548,0.015044407322830624,0.0,0.0040680736961410755,0.011313631740673872,0.0,0.0,0.0,0.0
532,AS14.16,2014-04-15,6,0.5684210526315789,0.6068222621184916,0.799738219895288,0.704584040747029,0.07925731606184264,0.019994579851929928,0.10344827586206896,0.18461538461538463,0.014103761519610352,0.016526482878051925,0.0046718395543875356,0.04765483419597615,0.015044407322830624,0.0,0.0040680736961410755,0.011484306503408143,0.0,0.0,0.0,0.0
533,AS14.16,2014-04-16,8,0.6710526315789473,0.6068222621184916,0.831151832460733,0.6536502546689305,0.04321581357140231,0.00781940479705808,0.13793103448275865,0.15384615384615385,0.013125493521086032,0.011040131966533336,0.0,0.0,0.0,0.0,0.0017183488633291523,0.005887172978274011,0.0,0.0,0.0,0.0
534,AS14.16,2014-04-17,6,0.631578947368421,0.6202872531418309,0.8507853403141361,0.6536502546689305,0.08788961212702728,0.011706014815135614,0.2758620689655173,0.18461538461538463,0.01828331151633103,0.008995086420500533,0.0,0.0,0.0,0.0,0.0028233344508449896,0.005313971296140866,0.0,0.0,0.0,0.0
535,AS14.16,2014-04-18,6,0.6000000000000001,0.6202872531418309,0.7054973821989529,0.6536502546689305,0.15437381043807624,0.01648686901991473,0.2758620689655173,0.16923076923076924,0.022247423094333967,0.012040612167034313,0.0,0.05564929154610046,0.0,0.0,0.004872899483113332,0.00573674117531043,0.0,0.0,0.0,0.0
536,AS14.16,2014-04-19,8,0.6631578947368422,0.6418312387791736,0.7054973821989529,0.704584040747029,0.13815757942505213,0.039106971990588366,0.3448275862068966,0.15384615384615385,0.027506259259475387,0.023372467812614692,0.04620687845435718,0.05564929154610046,0.0,0.0,0.003933133775462146,0.009957144129215747,0.0,0.0,0.0,0.0
537,AS14.16,2014-04-20,6,0.631578947368421,0.6526032315978454,0.7683246073298429,0.704584040747029,0.20621696714876936,0.03683657149081329,0.37931034482758624,0.12307692307692308,0.022704936563632695,0.021754913984040863,0.04620687845435718,0.05564929154610046,0.0,0.0,0.003933133775462146,0.009786469366481474,0.0,0.0,0.0,0.0
538,AS14.16,2014-04-21,8,0.6710526315789473,0.6741472172351881,0.8259162303664921,0.7555178268251275,0.18351755872263883,0.036790207259984734,0.3448275862068966,0.1076923076923077,0.019301757830632284,0.020706105887308663,0.04620687845435718,0.05564929154610046,0.0,0.0,0.003933133775462146,0.00873497169543848,0.0,0.0,0.0,0.0
539,AS14.16,2014-04-22,6,0.5684210526315789,0.6741472172351881,0.806282722513089,0.7555178268251275,0.1250532707394991,0.03716962231980453,0.20689655172413793,0.07692307692307693,0.021508186757634763,0.02393434620762967,0.048790705084032736,0.05564929154610046,0.0,0.0,0.0042379520312650675,0.0070245761492006,0.0,0.0,0.0,0.0
540,AS14.16,2014-04-23,8,0.6710526315789473,0.652603231597845,0.9162303664921465,0.735144312393888,0.08351297240707375,0.04236324601845704,0.2413793103448276,0.03076923076923077,0.021694252286708772,0.035515419085347305,0.05723863007805615,0.0,0.0,0.0,0.0021883869989967244,0.009613133417012207,0.0,0.0,0.0,0.0
541,AS14.16,2014-04-24,6,0.37894736842105264,0.6768402154398558,0.9751308900523561,0.735144312393888,0.11632683451394388,0.033049295768903995,0.13793103448275865,0.09230769230769231,0.023674018553893904,0.04045557991442904,0.011031751623698967,0.07603754873592262,0.0,0.0,0.003591358441268448,0.0045465627843022036,0.0,0.0,0.0,0.008341879772917804
542,AS14.16,2014-04-25,8,0.6631578947368422,0.5798922800718129,0.8337696335078534,0.6129032258064517,0.03900043240750498,0.046392302111663695,0.13793103448275865,0.1076923076923077,0.025653756900081277,0.04547605701042016,0.025291168643812315,0.07603754873592262,0.0,0.0,0.003591358441268448,0.0045465627843022036,0.0,0.0,0.0,0.008341879772917804
543,AS14.16,2014-04-26,6,0.5921052631578947,0.5906642728904843,0.7761780104712042,0.6129032258064517,0.0776926058611365,0.05013480616503173,0.5172413793103449,0.2153846153846154,0.030762070966297426,0.04585263571347466,0.025291168643812315,0.07603754873592262,0.0,0.0,0.003591358441268448,0.005217869563935548,0.0,0.0,0.0,0.008341879772917804
544,AS14.16,2014-04-27,8,0.6631578947368422,0.5637342908438054,0.7369109947643979,0.6129032258064517,0.23464239456241426,0.042466718786610326,0.6206896551724138,0.2153846153846154,0.020632919319847846,0.03733319130312571,0.022707342014136763,0.07603754873592262,0.0,0.0,0.0021865236168929878,0.004221569091912785,0.0,0.0,0.0,0.008341879772917804
545,AS14.16,2014-04-28,8,0.7894736842105263,0.59605026929982,0.6583769633507853,0.6332767402376911,0.2649792724064016,0.0352875418829924,0.5862068965517242,0.24615384615384617,0.01819510908440654,0.026410435541893856,0.014259417020113348,0.07603754873592262,0.0,0.0,0.0021865236168929878,0.0012102419449316144,0.0,0.0,0.0,0.008341879772917804
546,AS14.16,2014-04-29,6,0.631578947368421,0.6364452423698379,0.6780104712041884,0.6332767402376911,0.3131388281213002,0.02306999526700893,0.5862068965517242,0.3076923076923077,0.01007023834117555,0.010388030973899266,0.014259417020113348,0.0,0.0,0.0,0.0007835521746212639,0.005698079215216629,0.0,0.0,0.0,0.0
