,id,date,group,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_entertainment,total_finance,total_game,total_office,total_other,total_social,total_travel,total_unknown,total_utilities,total_weather
0,AS14.01,2014-03-21,1.0,6,0.5052631578947369,0.55,0.4461538461538462,0.24398040969762638,0.7816916086984714,0.0,0.1935483870967742,0.2092812,0.4831453846153846,0.14392228571428572,0.099088,0.0,0.028701,0.133195,0.5635625000000001,0.4577225000000001,0.0,0.4276814285714286,0.0
1,AS14.01,2014-03-22,1.0,6,0.536842105263158,0.65,0.5384615384615385,0.4311382924701313,0.267050478240718,0.06666666666666667,0.0967741935483871,0.04876193333333335,0.38176292307692306,0.013332,0.042152,0.0,0.0,0.05452388888888889,0.05495399999999999,0.0186525,0.0,0.08401499999999999,0.0
2,AS14.01,2014-03-23,1.0,6,0.6000000000000001,0.55,0.6307692307692307,0.25979864900047056,0.2945144348455511,0.0,0.0,0.08574973333333334,0.40287069230769235,0.013478000000000002,0.08680600000000001,0.0,0.0,0.04045722222222223,0.11260487500000001,0.0,0.0,0.02149,0.23373846153846153
3,AS14.01,2014-03-24,1.0,6,0.47368421052631576,0.7,0.38461538461538464,0.14371455334914066,0.6542326521977132,0.0,0.3225806451612903,0.05779706666666666,0.7131253076923078,0.13956728571428573,0.06821200000000001,0.0,0.0005016666666666666,0.036976666666666665,0.40295325000000004,0.20990250000000002,0.0,0.12766571428571427,0.0
4,AS14.01,2014-03-25,1.0,6,0.5921052631578947,0.625,0.5384615384615385,0.1790476510676645,0.9337110869158866,0.06666666666666667,0.0,0.0688512,0.7905193076923077,0.009743714285714286,0.086108,0.0,0.0,0.09934388888888888,0.23993387500000002,0.0,0.23522300000000002,0.15920928571428572,0.0
5,AS14.01,2014-03-26,1.0,6,0.5684210526315789,0.45,0.5692307692307692,0.18438811378169953,0.7140783043633335,0.0,0.0,0.07783313333333335,0.6914425384615384,0.13006842857142858,0.104662,0.0,0.0,0.05416555555555556,0.574007375,0.0,0.0,0.023832142857142857,0.0
6,AS14.01,2014-03-27,1.0,6,0.631578947368421,0.55,0.6307692307692307,0.2903203382658478,0.7583543477991354,0.06666666666666667,0.06451612903225806,0.08195513333333333,0.5335778461538462,0.09133414285714285,0.084438,0.0,0.030408499999999998,0.03251777777777778,0.116922625,0.023657,0.0,0.12787785714285713,0.0
7,AS14.01,2014-03-28,1.0,6,0.536842105263158,0.35,0.5692307692307692,0.1741769818255802,0.21406473911326873,0.0,0.16129032258064516,0.6708396666666666,0.06667946153846155,0.143629,0.17833200000000002,0.06658171428571429,0.0,0.12552833333333333,0.064092625,0.5665044999999999,0.0,0.21551214285714285,0.0
8,AS14.01,2014-03-29,1.0,8,0.7894736842105263,0.55,0.6923076923076923,0.12413380561421115,0.3618531304235044,0.06666666666666667,0.12903225806451613,0.13017533333333334,0.209284,0.23248985714285716,0.0,0.0,0.0,0.09421888888888888,0.059111,0.0262175,0.0,0.42902642857142853,0.0
9,AS14.01,2014-03-30,1.0,8,0.7105263157894737,0.375,0.6153846153846154,0.08935258313613444,0.19666147830175337,0.0,0.0,0.027624333333333338,0.09988500000000002,0.21938242857142856,0.0,0.0,0.0,0.041112777777777776,0.020960625,0.0,0.06647700000000001,0.027354285714285713,0.0
10,AS14.01,2014-03-31,1.0,8,0.6947368421052633,0.5,0.5692307692307692,0.12832482482236074,0.5146449565369148,0.0,0.1935483870967742,0.19742700000000002,0.4102028461538462,0.25127428571428573,0.08251,0.014621714285714286,0.0,0.14919666666666667,0.168831875,0.09169050000000001,0.02929,0.15021785714285715,0.0
11,AS14.01,2014-04-01,1.0,6,0.47368421052631576,0.55,0.38461538461538464,0.21557484867938842,0.7466915653062904,0.0,0.03225806451612903,0.09236780000000001,0.4688866153846154,0.14723385714285714,1.0,0.06706885714285715,0.015398,0.06732777777777778,0.6300083750000002,0.8073105,0.0,0.36973999999999996,0.0
12,AS14.01,2014-04-02,1.0,6,0.5526315789473684,0.5833333333333334,0.5897435897435898,0.1854952415439795,0.9286309130399125,0.0,0.12903225806451613,0.24095660000000002,0.5323196923076923,0.19191085714285716,0.495554,0.0,0.015080166666666665,0.30085611111111116,0.428599,0.0,0.0,0.24383642857142857,0.0
13,AS14.01,2014-04-03,1.0,6,0.536842105263158,0.2,0.38461538461538464,0.08961740712444204,0.930514565250148,0.0,0.12903225806451613,0.15476426666666668,1.0,0.1848044285714286,0.152468,0.0,0.0,0.11883444444444444,0.394280125,0.009541000000000001,0.0,0.13055142857142857,0.0
14,AS14.01,2014-04-04,1.0,6,0.5052631578947369,0.55,0.5076923076923077,0.23058326053309325,0.538235260870146,0.06666666666666667,0.06451612903225806,0.13052193333333334,0.4216636923076923,0.22074671428571432,0.0,0.0,0.0,0.09822277777777778,0.26077462500000004,0.07912050000000001,0.0,0.09192285714285715,0.0
15,AS14.01,2014-04-05,1.0,6,0.6000000000000001,0.4,0.5692307692307692,0.2165923754065549,0.14523613043453384,0.0,0.0,1.0,0.14503146153846155,0.010909857142857143,0.0,0.0,0.0,0.045073888888888886,0.045401000000000004,0.0939725,0.0,0.08496857142857143,0.0
16,AS14.01,2014-04-06,1.0,6,0.5526315789473684,0.3125,0.5384615384615385,0.11722662517993912,0.32466617390383845,0.0,0.12903225806451613,0.3032441333333334,0.25813407692307694,0.026744857142857143,0.0,0.032687428571428576,0.0,0.06617777777777778,0.040182499999999996,0.0,0.0,0.033035,0.0
